Title,Sol#,Department/Ind.Agency,Sub-Tier,Office,PostedDate,Type,ArchiveDate,SetASideCode,ResponseDeadLine,NaicsCode,PopState,PopZip,PopCountry
S&RTS Ports of Okinawa,HTC711-25-R-R004,DEPT OF DEFENSE,US TRANSPORTATION COMMAND (USTRANSCOM),USTRANSCOM-AQ,31:42.1,Solicitation,02-04-25,,2025-01-20T12:00:00-06:00,488320,JP-47,,JPN
W912DY-25-Q-0014 - Japan - Camp Buckner,W912DY-25-Q-0014,DEPT OF DEFENSE,DEPT OF THE ARMY,W2V6 USA ENG SPT CTR HUNTSVIL,31:30.4,Solicitation,1/22/2025,,2025-01-07T11:00:00-05:00,337126,JP-47,,JPN
USAID Latin America & Caribbean Regional Small Business Conference,USAID_Latin_America_Caribbean_Regional_Small_Business_Conference,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID OSDBU,26:28.5,Special Notice,2/18/2025,,2025-02-03T12:00:00-05:00,,PE-LIM,,PER
Procurement of Fuel for The Great Inagua Bahamas,70Z08425QAA750600,"HOMELAND SECURITY, DEPARTMENT OF",US COAST GUARD,DOL-9,07:50.2,Special Notice,01-10-25,,2024-12-26T10:00:00-05:00,424720,,,BHS
"Base Operations Support (BOS) Services U.S. Naval Support Activity (NSA) Souda Bay, Crete Greece",N6247024R0001,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM ATLANTIC,00:01.3,Solicitation,11/25/2025,,2025-01-22T14:00:00-05:00,561210,,,GRC
TANKVOY; FE - ME,N32205-SS-N351-25-017,DEPT OF DEFENSE,DEPT OF THE NAVY,MSC NORFOLK,43:18.1,Sources Sought,1/14/2025,,2024-12-30T13:00:00-05:00,483111,,,KOR
IFB 60-4006 Diego Garcia E1LA_Vehicles,IFB-60-4006,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISPOSITION SERVICES,39:25.6,Sale of Surplus Property,1/22/2025,,2025-01-21T13:00:00-05:00,423930,N/A,,IOT
LOCAL REMOVALS SERVICES,19UK5625Q0010,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LONDON,18:32.9,Combined Synopsis/Solicitation,01-11-25,,2024-12-27T17:00:00+00:00,238990,GB-LND,,GBR
LOCAL REMOVALS SERVICES,19UK5625Q0010,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LONDON,15:53.7,Combined Synopsis/Solicitation,1/18/2025,,2025-01-03T17:00:00+00:00,238990,GB-LND,,GBR
Janitorial Services US Embassy Rabat,19M05525Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY RABAT,02:26.1,Solicitation,07-01-25,,2025-01-07T16:45:00+01:00,561720,MA-25,11000,MAR
DRY CARGO VOYAGE CHARTER,N32205-SS-N321-25-016,DEPT OF DEFENSE,DEPT OF THE NAVY,MSC NORFOLK,58:28.6,Sources Sought,1/14/2025,,2024-12-30T10:00:00-05:00,483111,,,JPN
SPE60525R0202: Greece- Ground Fuels Delivery Purchase Program 1.6U,SPE60525R0202,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,47:04.3,Combined Synopsis/Solicitation,2/28/2025,,2025-01-31T15:00:00-05:00,324110,,,GRC
"Certified Strength and Conditioning Specialist, Aviano Air Base, Italy",FA568225Q8004,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5682  31 CONS DA LGC,38:05.8,Combined Synopsis/Solicitation,1/22/2025,,2025-01-07T15:00:00+01:00,621340,IT-PN,,ITA
Global Trackers,H9227725QT002,DEPT OF DEFENSE,US SPECIAL OPERATIONS COMMAND (USSOCOM),SOCCENT,15:23.9,Combined Synopsis/Solicitation,01-07-25,,2024-12-23T11:00:00-05:00,334111,,9855,KWT
Procurement of FCX Unit and Spare Parts,W912ER25R0011,DEPT OF DEFENSE,DEPT OF THE ARMY,W31R ENDIS MIDDLE EAST,08:00.8,Solicitation,1/31/2025,SBA,2024-12-31T10:00:00-04:00,335312,,,EGY
"US Mission Kampala, Uganda",19AQMM24R0163,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,53:52.1,Solicitation,01-11-25,,2024-12-27T13:00:00-05:00,561612,,,UGA
SPE605-24-RFI-1012: Greece - Ground Fuels Delivery Purchase Program 1.6U,SPE60524RFI1012,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA ENERGY,46:12.4,Sources Sought,2/15/2025,,2025-01-31T15:00:00-05:00,324110,,,GRC
"Custodial Services at Spangdahlem Air Base, Germany",FA560625Q0002,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5606  52 CONS DA LGC,40:55.8,Solicitation,1/28/2025,,2025-01-13T10:00:00+01:00,561720,DE-RP,D-54529,DEU
Award for Janitorial Services for Outside Areas,19L01025C0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY BRATISLAVA,30:29.8,Special Notice,01-10-25,,,561720,,,SVK
"FUNCTIONAL CHECK FLIGHT, Aviano Air Base",FA568225Q8001,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5682  31 CONS DA LGC,14:53.4,Combined Synopsis/Solicitation,1/23/2025,,2025-01-08T15:00:00+01:00,488190,,33084,ITA
J&A Multiple Award Construction Contract For FY20 Ramstein Air Base and Spangdahlem Air Base Extension,FA561325S0002,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5613  700 CONS PK,02:42.3,Special Notice,02-04-25,,2025-01-20T09:00:00-05:00,236220,DE-RP,,DEU
Global Trackers,H9227725QT002,DEPT OF DEFENSE,US SPECIAL OPERATIONS COMMAND (USSOCOM),SOCCENT,45:09.4,Combined Synopsis/Solicitation,01-04-25,,2024-12-20T11:00:00-05:00,334111,,9855,KWT
TANKER VOYAGE CHARTER,N32205-SS-N351-25-015,DEPT OF DEFENSE,DEPT OF THE NAVY,MSC NORFOLK,37:11.8,Sources Sought,01-11-25,,2024-12-27T11:00:00-05:00,483111,,,JPN
IFB 60-4006 Diego Garcia E1LA_Vehicles,IFB-60-4006,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISPOSITION SERVICES,06:24.4,Sale of Surplus Property,1/25/2025,,2025-01-24T13:00:00-05:00,423930,N/A,,IOT
RFQ - SECURE KEY CABINETS,19N06025Q0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY OSLO,07:14.1,Solicitation,1/18/2025,,2025-01-17T14:00:00-05:00,238390,,Morgedalsvegen 36,NOR
Elevators maintenance services for U.S. Embassy Tashkent.,19UZ8025Q0006,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY TASHKENT,56:41.2,Solicitation,1/18/2025,,2025-01-17T14:00:00+05:00,238290,,100093,UZB
Maintenance of Two (2) CATISO SCADA systems,19UK5625Q0016,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LONDON,39:03.8,Solicitation,02-07-25,,2025-01-23T17:00:00+00:00,811,GB-LBH,,GBR
French Language Training Services,19GB5025Q0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LIBREVILLE,03:25.5,Presolicitation,01-05-26,,2025-01-06T12:00:00+01:00,611430,GA-1,4000,GAB
"Structural surveys in a U.S Government Property located in Paris, France",19FR6325Q0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PARIS,24:05.1,Solicitation,02-04-25,,2025-01-20T18:00:00-05:00,541360,,,FRA
19WA8025Q0014 - Transportation services. Solicitation,PR1369160A,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY WINDHOEK,56:20.1,Solicitation,1/30/2025,,2025-01-15T17:00:00+01:00,48531,NA-KH,,NAM
Dar es Salaam Hotel and Conference Services - February 2025,PR15052508,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY DAR ES SALAAM,52:44.2,Solicitation,1/21/2025,,2025-01-06T12:00:00+03:00,721110,TZ-02,,TZA
Questions about this solicitation can be sent to DarGSOProcurement@groups.state.gov.,PR15052508,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY DAR ES SALAAM,51:38.6,Solicitation,1/21/2025,,2025-01-06T12:00:00+03:00,721110,TZ-02,,TZA
"Strengthening Services for Children, Adolescents, Youth and Families in the HIV Epidemic in Eswatini Activity",720674RFI00001,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/SOUTH AFRICA,46:11.2,Sources Sought,1/25/2025,,2025-01-10T09:00:00-05:00,,SZ-SH,,SWZ
Telephone Operator Services for U.S. Mission Spain & Andorra,19SP5025Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MADRID,39:55.3,Solicitation,1/30/2025,SBA,2025-01-15T16:00:00+01:00,56142,ES-MD,,ESP
Logistics Supplies and Services Support (LSS),W912PB25R3000,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,07:47.7,Solicitation,02-11-25,,2025-01-27T10:00:00+01:00,561210,,,DEU
RFQ - SECURE KEY CABINETS,19N06025Q0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY OSLO,00:09.0,Solicitation,1/18/2025,,2025-01-17T14:00:00-05:00,238390,,Morgedalsvegen 36,NOR
Event hosting for US Embassy Kuala Lumpur,PR15066912,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY KUALA LUMPUR,50:05.5,Presolicitation,01-10-25,,2025-01-05T00:00:00+08:00,721110,MY-14,,MYS
"N40084 CUSTODIAL SERVICES AT THE U.S. NAF ATSUGI, JAPAN",N4008425B8908,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM FAR EAST,34:13.4,Solicitation,02-06-25,,2025-01-22T10:00:00+09:00,561720,JP-14,,JPN
Contractor for Global Fund Grant Implementations,72066325R00002,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/ETHIOPIA,59:44.8,Combined Synopsis/Solicitation,1/21/2025,,2025-01-06T16:59:00+03:00,81392,,,ETH
Supply and Delivery of Curtains and Drapes,19RP3825Q0015,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,49:16.5,Solicitation,6/24/2025,,2024-12-26T12:00:00+08:00,314120,,,PHL
"USS HOWARD DDG83 FY25 5C1 SRA Bundle 4 (YOKOSUKA, JAPAN)",N6264925RA007,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,43:09.2,Solicitation,02-04-25,,2025-01-20T10:00:00+09:00,336611,JP-14,96349,JPN
U.S. Consulate General Hong Kong & Macau - Group Life Insurance Services to Local Engaged Staffs,19HK3025R0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY HONG KONG,20:39.7,Solicitation,4/30/2025,,2025-01-06T04:00:00-05:00,524113,N/A,,HKG
Cold Weather Training 17 - 21 February 2025,FA527025QB010,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5270  18 CONS PK,49:24.0,Combined Synopsis/Solicitation,1/21/2025,,2025-01-06T10:00:00+09:00,611430,,,JPN
Cold Weather Training 17 - 21 February 2025,FA527025QB010,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5270  18 CONS PK,47:37.4,Combined Synopsis/Solicitation,1/21/2025,,2025-01-06T10:00:00+09:00,611430,,,JPN
Design & Build Construction (DB) Services for Pacific Island Nations,W911KB25R1000,DEPT OF DEFENSE,DEPT OF THE ARMY,W2SN ENDIST ALASKA,36:58.2,Sources Sought,2/18/2025,,2025-02-03T14:00:00-09:00,,FM-TRK,,FSM
INL Kingston Open-Source Intelligence (OSINT) Software,191NLE25Q0023,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - INL,07:55.9,Combined Synopsis/Solicitation,01-07-25,SBA,2024-12-23T09:00:00-05:00,513210,,,JAM
"FY22 MCAF PAF 180400, AIRCRAFT MAINTENANCE SUPPORT FACILITY, ROYAL AUSTRALIAN AIR FORCE BASE TINDAL, AUSTRALIA",N6274225R1311,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM PACIFIC,29:45.9,Solicitation,2/26/2025,,2025-02-11T14:00:00-10:00,236220,,,AUS
Mission Brazil Areawide CFE Electric Power Support (Brazil-ACEPS) 19BR9325R0001,Brazil-ACEPS,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",CONSULATE GENERAL SAO PAULO,16:08.8,Solicitation,02-05-25,,2025-01-21T15:00:00-03:00,221122,,,BRA
Passenger Security Services and Baggage Screening,PAXSECURITY,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5613  700 CONS PK,03:53.4,Sources Sought,2/13/2025,,2025-01-29T16:00:00+01:00,561612,DE-RP,66877,DEU
DPM Packing and Containerization,FA558725R0095,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,FA5587  48 CONS,00:21.2,Combined Synopsis/Solicitation,02-05-25,,2025-01-21T14:00:00+00:00,488991,,,GBR
"Waterproofing repair on a balcony of a USG building located in Strasbourg, France",19FR6324Q0053,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PARIS,28:40.0,Solicitation,1/29/2025,,2025-01-14T18:00:00+01:00,238990,,,FRA
Masonry work in a U.S Government Property located in Strasbourg,19FR6324Q0052,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PARIS,20:04.1,Solicitation,1/29/2025,,2025-01-14T18:00:00+01:00,238140,,,FRA
INL Kingston: Intelligence and Investigative Analytical Software for MOCA,191NLE25Q0013,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - INL,02:45.5,Combined Synopsis/Solicitation,01-07-25,,2024-12-23T09:00:00-05:00,513210,,,JAM
"REPAIR OF DRUM,WINCH,AIRCRAFT",N0038325PR0R186,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP WEAPON SYSTEMS SUPPORT,25:09.6,Presolicitation,01-03-25,,2025-01-03T17:00:00-05:00,336413,,,GRC
Global Trackers,H9227725QT002,DEPT OF DEFENSE,US SPECIAL OPERATIONS COMMAND (USSOCOM),SOCCENT,23:35.3,Combined Synopsis/Solicitation,01-04-26,,2025-12-20T11:00:00-05:00,334111,,9855,KWT
Azores Hazardous Waste Removal,SP450025R0001,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISPOSTION SERVICE - EBS,53:44.4,Combined Synopsis/Solicitation,02-01-25,,2025-01-17T17:00:00-05:00,562211,PT-20,,PRT
Azores Hazardous Waste Removal,SP450025R0001,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DLA DISPOSTION SERVICE - EBS,53:14.4,Combined Synopsis/Solicitation,1/21/2025,,2025-01-06T17:00:00-05:00,562211,PT-20,,PRT
Cook Services Contract for Marine Contingent at the U.S. Consulate Frankfurt,PR15034801,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",US CONSULATE FRANKFURT,30:40.9,Solicitation,1/23/2025,,2025-01-22T16:00:00+01:00,722310,DE-HE,60435,DEU
"DELIVEY AND INSTALLATION OF PRE-FABRICATED CONTAINERS, ECUADOR",19GE5025R0012,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - RPSO FRANKFURT,37:03.2,Presolicitation,01-04-25,,2024-12-20T15:00:00+01:00,238390,,,ECU
Korea Multiple Award IDIQ,SP7000-25-RFI-1001,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DCSO-P NEW CUMBERLAND,32:33.8,Sources Sought,02-11-25,,2025-01-27T10:00:00-05:00,532420,,,KOR
"Regional Monitoring Center Remodeling, San Jose",19AQMM25R0005,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",ACQUISITIONS - AQM MOMENTUM,31:17.7,Solicitation,1/25/2025,,2025-01-10T12:00:00-05:00,236220,,,CRI
Up to 4-month Lease of 26 MFDs,SP700025P0021LSJ,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DCSO-P NEW CUMBERLAND,09:17.9,Justification,1/18/2025,,,532420,,,JPN
"Maintenance of Family Housing Quarters, USAG Ansbach, Germany",W912PB25BA002,DEPT OF DEFENSE,DEPT OF THE ARMY,0409 AQ HQ     CONTRACT,07:14.4,Solicitation,02-07-25,,2025-01-23T14:00:00+01:00,238330,,91522,DEU
Up to 4-month Lease of 26 MFDs,SP7000-25-P-0021,DEPT OF DEFENSE,DEFENSE LOGISTICS AGENCY,DCSO-P NEW CUMBERLAND,05:10.5,Award Notice,01-02-25,,,532420,,,JPN
"Naval Support Facility (NSF) Redzikowo, Poland Electrical Power",N33191-17-C-1205,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM EUROPE AFRICA CENTRAL,58:20.8,Justification,1/18/2025,,,221122,,,POL
"Naval Support Facility (NSF) Redzikowo, Poland Electrical Power",N33191-17-C-1205,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM EUROPE AFRICA CENTRAL,54:12.8,Justification,1/18/2025,,,221122,,,POL
INL_RFQ-PR15008973 FURNITURE MODERNIZATION FOR NAVY,INL_RFQ-PR15008973,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,09:21.8,Combined Synopsis/Solicitation,1/18/2025,,2025-01-03T16:00:00-05:00,337214,,,COL
INL_RFQ-PR15045134 CAMPBASE SECURITY IMPROVEMENT MATERIAL,INL_RFQ-PR15045134,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY BOGOTA - NAS,08:31.3,Combined Synopsis/Solicitation,1/18/2025,,2025-01-03T16:00:00-05:00,327999,,,COL
Non-Tactical Vehicles (NTVs) CENTCOM AOR KUWAIT,W5J9JE-25-S-0003,DEPT OF DEFENSE,DEPT OF THE ARMY,W31R ENDIST AFGHANISTAN NORTH,40:53.9,Sources Sought,1/19/2025,,2025-01-04T16:00:00-05:00,532112,KW-AH,,KWT
Amended Residential Building Renovation _ Windows & Bars Replacement and Exterior Works,19L16025Q0003,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MONROVIA,12:02.3,Solicitation,1/28/2025,,2025-01-13T16:00:00+00:00,2361,LR-MO,,LBR
Amended Residential Renovation and Electrical Upgrade,19L16025Q0001,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MONROVIA,04:04.4,Solicitation,1/21/2025,,2025-01-06T16:00:00+00:00,2361,LR-MO,,LBR
EUR ATHENS-DT-Diplomatic Mail Logistic Services,19GR1025Q0006,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN EMBASSY ATHENS,51:34.3,Solicitation,1/18/2025,,2025-01-03T03:00:00+02:00,541614,GR-I,10160,GRC
Site security services,,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLC SIGONELLA NAPLES OFFICE,29:41.8,Special Notice,01-07-26,,2025-12-23T08:00:00+01:00,561612,,,ITA
USAID Vietnam Innovation Ecosystem,72044025R00002,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/VIETNAM,17:29.2,Combined Synopsis/Solicitation,9/30/2025,,2025-02-07T08:00:00+07:00,541990,,,VNM
Sole Source J&A for VIDEX,W90VN925P70001,DEPT OF DEFENSE,DEPT OF THE ARMY,646TH SUPPORT DETACHMENT,48:48.3,Justification,1/18/2025,,,484,VN-HN,,VNM
Award - 19KU2025D0004 - DPO Mail Services,19KU2025D0004,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY KUWAIT,32:28.2,Special Notice,01-10-25,,2024-12-26T11:00:00+03:00,561431,KW-HA,13001,KWT
"Room Accommodation and Conference Package at Davao City, Philippines",19RP3825Q0013,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY MANILA,18:13.1,Solicitation,7/24/2025,,2025-01-02T12:00:00-05:00,721110,,,PHL
"USS BLUE RIDGE FY25 5A1 CMAV (Yokosuka, Japan)",N6264925RA016,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,56:21.1,Solicitation,1/15/2025,,2025-01-14T10:00:00+09:00,336611,JP-14,,JPN
USS BLUE RIDGE FY25 5A1 CMAV,N6264925RA016,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVSUP FLT LOG CTR  YOKOSUKA,54:48.0,Solicitation,1/15/2025,,2025-01-14T10:00:00+09:00,336611,JP-14,,JPN
"Demolish Bldg. No. S-1330, BSF",W90VN925R0006,DEPT OF DEFENSE,DEPT OF THE ARMY,646TH SUPPORT DETACHMENT,56:46.6,Award Notice,01-03-25,,,23622,,,KOR
Asphalt Zipper Parts,M67400-25-P-0001,DEPT OF DEFENSE,DEPT OF THE NAVY,COMMANDING OFFICER,33:37.1,Award Notice,01-03-26,,,,JP-47,,JPN
AN/PVS-7 NIGHT VISION IMAGE INTENSIFIER TUBE (IIT),W91CRB-25-R-5002,DEPT OF DEFENSE,DEPT OF THE ARMY,W6QK ACC-APG,26:05.7,Combined Synopsis/Solicitation,1/15/2025,SBA,2024-12-31T15:00:00-05:00,333310,,,KOR
"FY22 MCAF PAF 180400, AIRCRAFT MAINTENANCE SUPPORT FACILITY, ROYAL AUSTRALIAN AIR FORCE BASE TINDAL, AUSTRALIA",N6274225R1311,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM PACIFIC,10:57.4,Solicitation,2/26/2025,,2025-02-11T14:00:00-10:00,236220,,,AUS
RENTAL OF VEHICLES,19PM0725Q0002,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY PANAMA CITY,50:40.5,Combined Synopsis/Solicitation,1/31/2025,,2025-01-16T15:00:00-05:00,532111,PA-8,,PAN
JOFOC Logistic Support Lodging,19BR8224Q0011,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE RIO DE JANEIRO,53:58.4,Justification,01-08-25,,,72111,BR-RJ,22070-001,BRA
Justification and Approval for Other than Full and Open Competition – FAR 13.106-1(b),25-008,DEPT OF DEFENSE,DEPT OF THE ARMY,0410 AQ HQ     CONTRACT,30:50.3,Justification,1/17/2025,,,,CU-14,,CUB
JOFOC Logistic Support Lodging 2 RJ-Brazil,19BR8224D0015,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE RIO DE JANEIRO,22:07.5,Justification,01-08-25,,,72111,BR-RJ,22070-001,BRA
JOFOC Transportation Services Rio- Brazil,19BR8224Q0014,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",AMERICAN CONSULATE RIO DE JANEIRO,19:06.8,Justification,01-08-25,,,485991,BR-RJ,22070-001,BRA
Interpretation Services in Panama,W912QM25Q0003-1,DEPT OF DEFENSE,DEPT OF THE ARMY,0410 AQ HQ     CONTRACT,12:06.6,Solicitation,1/25/2025,,2025-01-10T17:00:00-06:00,541930,PA-8,,PAN
Collection and Disposal of Sanitary Items,19UK5625Q0017,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",U.S. EMBASSY LONDON,12:01.1,Presolicitation,01-03-25,,,,GB-LND,,GBR
"Monitoring, Evaluation, Collaboration, and Learning Activity (MECLA)",72030625R00001,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/AFGHANISTAN,08:45.6,Solicitation,2/15/2025,,2025-01-31T16:00:00-05:00,541990,,,AFG
"N3319124R0009 D-B Floresti and Rezina Schools, Moldova",N3319124R0009,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM EUROPE AFRICA CENTRAL,15:44.5,Solicitation,08-11-25,,2025-01-07T14:00:00+01:00,236220,,,MDA
Eswatini PEPFAR Country Dirctor,72067425R00004,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/SOUTH AFRICA,39:25.5,Solicitation,01-02-25,,2024-12-18T15:00:00+01:00,812990,,,SWZ
Industry Day - CENTAM MATOC - Construction & Repair Projects,W9127825R0010,DEPT OF DEFENSE,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT MOBILE,33:52.1,Special Notice,12/31/2024,,2024-12-03T17:00:00-05:00,236220,,,HND
"N3319124R0009 D-B Floresti and Rezina Schools, Moldova",N3319124R0009,DEPT OF DEFENSE,DEPT OF THE NAVY,NAVFACSYSCOM EUROPE AFRICA CENTRAL,15:46.6,Solicitation,08-11-25,,2024-07-22T14:00:00+02:00,236220,,,MDA
